"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CBFS: A Clustering-Based Feature Selection Mechanism for Network Anomaly Detection","J. Mao; Y. Hu; D. Jiang; T. Wei; F. Shen","School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China",IEEE Access,"30 Jun 2020","2020","8","","116216","116225","Network traffic flows contain a large number of correlated and redundant features that significantly degrade the performance of data-driven network anomaly detection. In this paper, we propose a novel clustering and ranking-based feature selection scheme, termed as CBFS, to reduce redundant features in network traffic, which can greatly improve the efficiency and accuracy of feature-based network anomaly detection. Our proposed CBFS scheme first calculates the distance between feature vectors, merges these feature vectors into different clusters, and selects the center of each cluster as a representative feature vector. The proposed CBFS scheme then integrates the information gain and gain rate of features to further streamline the number of features on the basis of clustering generation. Finally, the proposed CBFS scheme applies the decision-tree-based classifier to the generated subset of features so that the abnormal traffic flows are detected. The experimental results show that our proposed CBFS scheme is effective in reducing feature dimensions across different datasets. The proposed CBFS scheme can achieve feature reduction rates of 20% to 70%, and cost-performance of up to 70% as compared to benchmarking methods.","2169-3536","","10.1109/ACCESS.2020.3004699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9123904","Feature selection;clustering;information gain;classification;decision tree;intrusion detection","Feature extraction;Correlation;Clustering algorithms;Anomaly detection;Decision trees;Computational modeling","","12","","31","CCBY","24 Jun 2020","","","IEEE","IEEE Journals"
"Multimodal Alignment and Attention-Based Person Search via Natural Language Description","Z. Ji; S. Li","School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China",IEEE Internet of Things Journal,"12 Nov 2020","2020","7","11","11147","11156","Visual Internet of Things (VIoT) has been widely deployed in the field of social security. However, how to enable it to be intelligent is an urgent yet challenging task. In this article, we address the task of searching persons with natural language description query in a public safety surveillance system, which is a practical and demanding technique in VIoT. It is a fine-grained many-to-many cross-modal problem and more challenging than those with the image and the attribute as queries. The existing attempts are still weak in bridging the semantic gap between visual modality from different camera sensors and text modality from natural language descriptions. We propose a deep person search approach with a natural language description query by employing the attention mechanism (AM) and multimodal alignment (MA) method to supervise the cross-modal mapping. Particularly, the AM consists of two self-attention modules and one cross-attention module, where the former aims at learning discriminative representations and the latter supervises each other with their own information to offer accurate guidance to a common space. The MA approach contains three alignment processes with a novel cross-ranking loss function to make different matching pairs separable in a common space. Extensive experiments on large-scale CUHK-PEDES demonstrate the superiority of the proposed approach.","2327-4662","","10.1109/JIOT.2020.2995148","Natural Science Foundation of Tianjin(grant numbers:19JCYBJC16000); National Natural Science Foundation of China(grant numbers:61771329); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9094645","Attention mechanism (AM);natural language description;person search;Visual Internet of Things (VIoT)","Task analysis;Natural languages;Visualization;Internet of Things;Cameras;Sensors;Surveillance","","10","","37","IEEE","18 May 2020","","","IEEE","IEEE Journals"
"Analysis of Security of Split Manufacturing Using Machine Learning","W. Zeng; B. Zhang; A. Davoodi","Department of Electrical and Computer Engineering, University of Wisconsin–Madison, Madison, USA; Department of Electrical and Computer Engineering, University of Wisconsin–Madison, Madison, USA; Department of Electrical and Computer Engineering, University of Wisconsin–Madison, Madison, USA",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"22 Nov 2019","2019","27","12","2767","2780","This paper is the first to analyze the security of split manufacturing using machine learning (ML), based on data collected from layouts provided by industry, with eight routing metal layers and significant variation in wire size and routing congestion across the layers. Many types of layout features are considered in our ML model, including those obtained from placement, routing, and cell sizes. Since the runtime cost of our basic ML procedure becomes prohibitively large for lower layers, we propose novel techniques to make it scalable with little sacrifice in the effectiveness of the attack. Moreover, we further improve the performance in the top routing layer by making use of higher quality training samples and by exploiting the routing convention. We also propose a validation-based proximity attack procedure, which generally outperforms our recent prior work. In the experiments, we analyze the ranking of the features used in our ML model and show how features vary in importance when moving to the lower layers. We provide comprehensive evaluation and comparison of our model with different configurations and demonstrate dramatically better performance of attacks compared to the prior work.","1557-9999","","10.1109/TVLSI.2019.2929710","National Science Foundation(grant numbers:1812600); Semiconductor Research Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789523","Integrated circuit manufacture;machine learning;security;very large scale integration","Layout;Routing;Pins;Metals;Training;Fabrication","","10","","18","IEEE","6 Aug 2019","","","IEEE","IEEE Journals"
"CMRDF: A Real-Time Food Alerting System Based on Multimodal Data","P. Zhou; C. Bai; J. Xia; S. Chen","College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Computer Science and Technology and Key Laboratory of Visual Media Intelligent Processing Technology of Zhejiang Province, Zhejiang University of Technology, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Computer Engineering, Tianjin University of Technology, Tianjin, China",IEEE Internet of Things Journal,"25 Apr 2022","2022","9","9","6335","6349","A healthy diet is a major concern for everyone, especially for those with specific diseases, such as diabetes. Meanwhile, with the rapid development of new technologies, it is feasible for us to detect the deep latent relationship between daily meals and wellbeing. Advanced Internet of Things devices, such as smart bracelets and wearable cameras, make it possible for people to know how food is related to health at any time. However, it is still arduous for individuals to memorize all the health information and utilize them to regulate their diet. To deal with such problems, we propose a novel system called cross-modal retrieval on diabetogenic food (CMRDF) which realizes a real-time dietary notice based on multimodal data captured from wearable devices. In this system, we propose a new graph-based cross-modal retrieval method named graph correlation analysis with ranking loss that finds the latent information in multimodal data. We use graph convolutional networks to dig the deep latent information in modalities and represent the data in finer granularity. It uses visual and physiological information to estimate whether the food that a user tries to obtain is diabetogenic or not, and feeds back the reasons in detail. Extensive experiments on the MSCOCO data set and the new proposed multimodal diabetogenic food database real-life diabetogenic show that the proposed cross-modal retrieval method outperforms state-of-the-art methods and CMRDF can achieve reliable results on preventing diabetic patients from inappropriate food.","2327-4662","","10.1109/JIOT.2020.2996009","National Key Research and Development Program(grant numbers:2018YFB1305200); Natural Science Foundation of China(grant numbers:U1908210,61976192); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097272","Cross-modal retrieval;graph convolutional network (GCN);multimodal data;personal health;wearable devices","Diabetes;Internet of Things;Biomedical monitoring;Real-time systems;Correlation;Databases;Biomedical imaging","","5","","85","IEEE","20 May 2020","","","IEEE","IEEE Journals"
"Reliable and Privacy-Preserving Top-k Disease Matching Schemes for E-Healthcare Systems","C. Xu; N. Wang; L. Zhu; C. Zhang; K. Sharif; H. Wu","School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Department of International Law School, China University of Political Science and Law, Beijing, China",IEEE Internet of Things Journal,"24 Mar 2022","2022","9","7","5537","5547","The integration of body sensors, cloud computing, and mobile communication technologies has significantly improved the development and availability of e-healthcare systems. In an e-healthcare system, health service providers upload real patients’ clinical data and diagnostic treatments to the cloud server. Afterward, the users can submit queries with specific body sensor parameters, to obtaining pertinent  ${k}$  diagnostic files. The results are ranked based on ranking algorithms that match the query parameters to the ones in diagnostic files. However, privacy concerns arise while matching disease, since the clinical data and diagnostic files contain sensitive information. In this work, we propose two reliable and privacy-preserving Top- ${k}$  disease matching schemes. The first scheme is constructed based on our proposed weighted Euclidean distance comparison algorithm under secure  ${k}$ -nearest neighbor technique to get  ${k}$  diagnostic files. It allows users to set different weights for each body indicator as per their needs. The second scheme is designed by comparing Euclidean distances under the modified Paillier homomorphic encryption algorithm where a superlinear sequence is used to reduce the computational and communication overhead. The user side incurs slightly higher computational costs, but the trusted party does not need to execute encryption operations. Hence, the proposed two schemes can be applied in different application scenarios. Simulations on synthetic and real data prove the efficiency of the schemes, and security analysis establishes the privacy-preservation properties.","2327-4662","","10.1109/JIOT.2021.3111739","National Natural Science Foundation of China(grant numbers:61972037,61402037,U1804263); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534881","Euclidean distances;homomorphic encryption;privacy preserving;secure k-nearest neighbor (kNN);top-k disease matching","Servers;Cloud computing;Diseases;Internet of Things;Sensors;Reliability;Computational modeling","","5","","26","IEEE","10 Sep 2021","","","IEEE","IEEE Journals"
"A personalized refinement technique for semantic multimedia content search in smart TV","H. -K. Hong; D. -H. Lee","Department of Computer Science and Engineering, Hanyang University, Korea; Department of Computer Science and Engineering, Hanyang University, Korea",IEEE Transactions on Consumer Electronics,"25 Jan 2016","2015","61","4","581","587","The rapid spread of smart TV has enabled users to enjoy not only TV programs and VODs but also various multimedia services. However, due to the inconvenient input environment of smart TV in comparison to PC and the lack of a well-designed user interface, it is relatively difficult for users to freely search multimedia content in smart TV. In order to cope with this problem, a number of approaches using new equipment, smart devices, and hands-free controlling techniques have been proposed. However, their performance remains unsatisfactory. This paper proposes an efficient semantic analysis and personalized refinement technique for searching multimedia content in smart TV. This system makes it possible to provide more personal-tailored content to users with minimal input operations. For the search results from diverse multimedia content sharing sites, the proposed method semantically analyzes user information and multimedia content, and then measures the semantic relatedness among user's query, multimedia content, and user preference exploiting domain ontology. In order to provide accurate personalized results of the multimedia content search in smart TV, it carries out filtering, grouping, and ranking for the search results based on the semantic relatedness. The various experimental results show the effectiveness of the proposed approach.","1558-4127","","10.1109/TCE.2015.7389815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7389815","Smart TV;Multimedia Content Search;Semantic Analysis;Personalized Refinement","Multimedia communication;TV;Semantics;Metadata;Ontologies;Filtering","","4","","20","IEEE","25 Jan 2016","","","IEEE","IEEE Journals"
"HADPoS: Improvement of DPoS Consensus Mechanism Based on Heat Attenuation","C. You; Y. Qin; Q. Chen; C. Chen; J. Huang","Guangzhou University, Guangzhou, China; Guangzhou University, Guangzhou, China; Guangzhou University, Guangzhou, China; Guangzhou University, Guangzhou, China; Guangzhou University, Guangzhou, China",IT Professional,"21 Mar 2023","2023","25","1","40","51","Blockchain was known by Satoshi Nakamoto in 2008 because of bitcoin. After more than a decade of development, blockchain has been widely applied in medical, digital finance, and electronic evidence, and others. At present, there are dozens of different consensus algorithms for different application context, such as proof of work, proof of stake, delegate proof of stake (DPoS), and proof of reputation. The DPoS consensus mechanism selects proxy nodes for block generation and confirmation through node voting, which can achieve fast block verification and adapt to a wide range of business areas. Aiming at the problems of DPoS consensus mechanism, such as giant monopoly, inactive voting, and high centralization, we puts forward the heat attenuation mechanism. The heat attenuation mechanism mildly punishes those nodes that maintain high ranking for a long time, which reduces the phenomenon of giant monopoly and enhances the degree of decentralization of the whole network. This article proposes the heat attenuation mechanism and the benefit distribution scheme. The heat attenuation mechanism improves the degree of decentralization of the blockchain network. The benefit distribution scheme makes sure that every node participating in the voting can get income. Finally, the feasibility and correctness of the consensus algorithm is proved by simulation experiments of the blockchain system.","1941-045X","","10.1109/MITP.2022.3225429","National Key Research and Development Program of China(grant numbers:2021YFA1000600); National Key Project of China(grant numbers:2020YFB1005700); Open Fund Project of State Key Laboratory of Integrated Services Networks(grant numbers:ISN23-19); Key Research and Development Program of Guangzhou(grant numbers:202103050003); City School Joint Funding Project of Guangzhou City(grant numbers:202102010377); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077816","","Blockchains;Finance;Consensus algorithm;Bitcoin;Attenuation;Proof of Work;Consensus protocol;Bitcoin","","1","","23","IEEE","21 Mar 2023","","","IEEE","IEEE Magazines"
"Comparative Analysis of Telecommunications Infrastructure Resilience in BRICS Nations: An Integrated MCDM Approach","C. -N. Wang; S. -D. Syu; N. -L. Nhieu","Department of Industrial Engineering and Management, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Industrial Engineering and Management, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Industrial Engineering and Management, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan",IEEE Access,"8 Mar 2024","2024","12","","35081","35096","This study conducts a detailed evaluation of telecommunications infrastructure across the BRICS nations (Brazil, Russia, India, China, and South Africa) using an integrated Multiple Criteria Decision-Making (MCDM) approach. The primary objectives are to assess the resilience and performance of telecommunications infrastructure in these countries, identifying strengths and weaknesses through a comprehensive analytical lens. Employing a novel combination of distance-based CRITIC and modified OCRA methods within the MCDM framework, the study aims to provide a nuanced analysis of various indicators, offering a holistic view of the telecommunications landscape in these emerging economies. The research focuses on comparing and contrasting the telecommunications sectors of the BRICS nations, culminating in a ranking system where India appears as the top performer. This innovative methodological approach provides valuable insights for policymakers, contributing to strategic development and enhancement of telecommunications infrastructure in these countries. The study also outlines its limitations and recommends future research directions, including broadening the range of indicators and conducting longitudinal studies.","2169-3536","","10.1109/ACCESS.2024.3371576","National Science and Technology Council, Taiwan(grant numbers:NSTC 112-2622-E-992-014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10453583","BRICS nations;telecommunications infrastructure;resilience;multiple criteria decision-making (MCDM);CRITIC method;OCRA method;comparative analysis;policy benchmarking;digital economy","Resilience;Economics;Industries;Robustness;Renewable energy sources;Telecommunication services;Critical infrastructure;Decision making;Benchmark testing","","","","61","CCBYNCND","29 Feb 2024","","","IEEE","IEEE Journals"
"Robust Perceptual Data Sensing Based on Majorization-Minimized Low-Rank Semidefinite Relaxation for the Visual IoT","B. -W. Chen; T. -H. Wang","Department of Electrical Engineering, National Sun Yat-Sen University, Taiwan; Department of Electrical Engineering, National Sun Yat-Sen University, Taiwan",IEEE Internet of Things Journal,"","2024","PP","99","1","1","For the Visual Internet of Things (VIoT), terminal devices need to preliminarily screen and tag data for enabling efficient indexing and allocation of sensing data to dedicated edge nodes or cloud data centers for further processing. VIoT terminal devices often face a challenge, where collected data are contaminated by noise or contain partial observed information, which can adversely affect the accuracy and reliability of tagged results. In view of such, this study proposes resilient and perceptual data signature generation for robustly tagging captured data based on low-rank semidefinite relaxation. Such signatures can represent data in a compact way while embedding label information inside at the same time. To increase the robustness and effectiveness of data tagging in the proposed method, nonconvex loss called leaky-minimax concave penalty function is studied. This loss function effectively tackles the challenges posed by partially observed data and instance-pairwise label-space mapping, subsequently improving the reliability and accuracy of the tagging process in the terminal devices. To solve the challenges associated with nonconvex loss functions, this study employs the majorization-minimization technique, which helps conquer the nonconvex optimization problem efficiently. Additionally, low-rank semidefinite relaxation is applied to the formation of data signatures to avoid discrete variable optimization problems caused by Laplacian graph embedding, where data locality learning is performed. The relaxation helps simplify the optimization process and improve the applicability of the method. Experimental evaluations conducted on open datasets have demonstrated the superior performance of the proposed method compared with the baselines, particularly under different data corruption conditions. The results showed an improvement of 19.45%, 8.97%, and 5.45% in F1 scores, with respect to impulse noise, continuous occlusion, and missing values. This validated the effectiveness and practicality of the proposed model in handling VIoT data challenges","2327-4662","","10.1109/JIOT.2024.3399012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10528257","Robust data signature;incomplete data;partially observed data;relaxation;low-rank semidefinite programming;Visual Internet of Things (VIoT)","Sensors;Synchronous digital hierarchy;Visualization;Optimization;Covariance matrices;Internet of Things;Data models","","","","","IEEE","9 May 2024","","","IEEE","IEEE Early Access Articles"
"Local Trajectory Privacy Protection in 5G Enabled Industrial Intelligent Logistics","Z. Yang; R. Wang; D. Wu; H. Wang; H. Song; X. Ma","School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; Electrical and Computer Engineering Department, University of Massachusetts Dartmouth, North Dartmouth, MA, USA; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Artificial Intelligence, Chongqing University of Arts and Sciences, Chongqing, China",IEEE Transactions on Industrial Informatics,"5 Jan 2022","2022","18","4","2868","2876","The value of trajectory data lies mainly in the spatio-temporal correlation. However, the existing privacy protection methods ignore the spatio-temporal correlation of trajectory data, resulting in a large error in trajectory proportion estimation and Top-K classification. For the privacy of truck trajectory in intelligent logistics, the location and trajectory data perturbation method based on quadtree indexing is proposed, which leverages location generalization and local differential privacy techniques. Our proposed algorithms are suitable for datasets with a large sample space and can protect the trajectory privacy of truck drivers while preserving the strong correlation between adjacent spatio-temporal nodes in the trajectory. The results of simulation on a real trajectory dataset show that the proposed methods not only meet the trajectory privacy requirements of users but also have a good performance in trajectory proportion estimation and Top-K classification.","1941-0050","","10.1109/TII.2021.3116529","National Natural Science Foundation of China(grant numbers:61871062,61771082,61901071); Natural Science Foundation of Chongqing of China(grant numbers:cstc2020jcyj-zdxmX0024); University Innovation Research Group of Chongqing of China(grant numbers:CXQT20017); Innovation, and Entrepreneurship Demonstration Team of Yingcai Program of Chongqing(grant numbers:CQYC201903167); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552545","Intelligent logistics;local differential privacy;quadtree indexing;spatio-temporal correlation;trajectory privacy","Trajectory;Logistics;Data privacy;Privacy;Servers;Correlation;Perturbation methods","","25","","26","CCBYNCND","29 Sep 2021","","","IEEE","IEEE Journals"
"Multiple Instance Learning With Random Forest for Event Logs Analysis and Predictive Maintenance in Ship Electric Propulsion System","A. Bakdi; N. B. Kristensen; M. Stakkeland","Department of Mathematics, University of Oslo, Oslo, Norway; Department of Mathematics, University of Oslo, Oslo, Norway; Department of Mathematics, University of Oslo, Oslo, Norway",IEEE Transactions on Industrial Informatics,"19 Sep 2022","2022","18","11","7718","7728","In this article, a novel weakly supervised machine learning approach is proposed for intelligent predictive maintenance (IPdM). It employs balanced random forest and multiple instance learning based on event logs from ships’ electric propulsion systems. The objectives are predicting failure likelihood, time to failure, and explainable predictions to ensure timely crew intervention. The IPdM approach uncovers, then learns, and classifies sequences of events that represent early causes or symptoms to forecast imminent failures. In particular, this article contributes effective solutions to irregular, imbalanced, and unlabeled data issues where conventional methods become obsolete. First, the events occur at irregular intervals; they include alarms, warnings, and operational information collected across multiple units and control systems. Second, the datasets exhibit extreme imbalance due to few failures and multiple failure modes; this entails biased predictions. Third, the training datasets are weakly labeled; only the failure timestamp is known without any expert input on prior causes or early symptoms. Temporal random indexing is proposed to transform textual log messages into a numerical lower dimensional space where timeseries analyses are applicable. Balanced random-forest models are developed for unbiased classification and regression. The overall approach learns recursively the ungiven data labels while training the base learners. The IPdM approach is validated through millions of events of multithousand types collected from two years of seagoing vessels. It successfully forecasts actual propulsion failures and performs better when compared with contemporary methods.","1941-0050","","10.1109/TII.2022.3144177","Norwegian Research Council Research-Based Innovation Center BigInsight(grant numbers:237718); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684935","Alarm system;balanced random forest (B-RF);event-driven predictive maintenance;event logs;failure prediction;imbalance;inexact labeling;inverter;liquified natural gas (LNG) carriers;multiple instance learning (MIL);ship electric propulsion system;temporal random indexing (TRI);time to failure (t2f);weakly supervised learning","Maintenance engineering;Propulsion;Marine vehicles;Predictive maintenance;Informatics;Random forests;Radio frequency","","11","","35","IEEE","19 Jan 2022","","","IEEE","IEEE Journals"
"6G-Enabled Consumer Electronics Device Intrusion Detection With Federated Meta-Learning and Digital Twins in a Meta-Verse Environment","S. He; C. Du; M. S. Hossain","Department of Electronics, Software Engineering Institute of Guangzhou, Guangzhou, China; Department of Electronics, Software Engineering Institute of Guangzhou, Guangzhou, China; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","3111","3119","The widespread adoption of consumer electronics devices coupled with the emergence of 6G technology has led to the establishment of an extensive network of interconnected devices, forming the underlying infrastructure of the Internet of Things (IoT). Nevertheless, this interconnectivity introduces a myriad of security concerns, given that these devices become susceptible to malicious activities and unauthorized breaches. Moreover, conventional intrusion detection systems encounter difficulties in managing imbalanced data scenarios, wherein the count of normal instances vastly exceeds that of intrusion instances. To address this issue, we propose a novel framework for 6G-enabled consumer electronics device intrusion detection, leveraging the power of federated meta-learning and digital twins within a Meta-Verse environment. By leveraging the distributed intelligence of meta-learning across a network of devices, our framework enables efficient and accurate detection of intrusions while mitigating the impact of imbalanced data. Furthermore, by utilizing digital twins within a Meta-Verse environment, we create a scalable and controlled setting for experimentation, enabling the development and evaluation of intrusion detection algorithms in a realistic yet controlled manner. Our experimental results demonstrate the effectiveness of the proposed framework in detecting intrusions on 6G-enabled consumer electronics devices. The federated meta-learning approach achieves superior performance compared to traditional intrusion detection methods, especially in imbalanced data scenarios.","1558-4127","","10.1109/TCE.2023.3321846","Researchers Supporting Project number (RSP2023r32), King Saud University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271257","Federated meta learning;intrusion detection;metaverse;meta learning;digital twin;consumer electronics","Intrusion detection;Data models;Training;6G mobile communication;Security;Data privacy;Metaverse","","5","","50","IEEE","3 Oct 2023","","","IEEE","IEEE Journals"
"DMACN: A Dynamic Multi-Attribute Caching Mechanism for NDN-Based Remote Health Monitoring System","P. Kar; K. Chen; J. Shi","School of Computer Science, University of Nottingham Ningbo China, Ningbo, Zhejiang, China; Department of Electrical and Electronic Engineering, University of Nottingham Ningbo China, Ningbo, Zhejiang, China; Department of Mathematical Science, University of Nottingham Ningbo China, Ningbo, Zhejiang, China",IEEE Transactions on Computers,"6 Apr 2023","2023","72","5","1301","1313","Named Data Network (NDN) advocates the philosophy of accessing IoT data owing to its location independence feature. This enables routers to pre-cache content and serves the future requests for the same content on a local basis. Such architecture demonstrates huge application potential in the E-health field. In order to achieve efficient healthcare treatment and administration for both patients and medical professions, the optimization of storing patients’ real-time, large-scale physical data is of necessity. We propose a Dynamic Multi-Attribute Caching mechanism for NDN-Based remote health monitoring system (DMACN). In our model, we adopted a predictable consumer-driven freshness mechanism with low computation cost to satisfy the freshness-sensitive nature of health data. A novel content popularity model based on Analytic Hierarchy Process (AHP) and medical-grade parameters are proposed to handle the doctor-decision-making-coupled Interest sending mechanism of a remote health monitoring system. The final simulation results show DMACN has strong robustness against intensive requesting and complex contents. It is also shown that its performance surpasses existing mechanisms. The Cache Hit Ratio exceeds 37.5% to FIFO and LRU, 220% compared with CPFC, and 55% for CTDICR for both consumer and producer tests. On the other hand, the Latency is about 23.8% lower than FIFO and LRU, 46.6% lower compared with CPFC, and 35.4% for CTDICR.","1557-9956","","10.1109/TC.2022.3197955","Ningbo Municipal Bureau of Science and Technology(grant numbers:202002N3135); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9854159","Named data network;NDN caching mechanism;remote health monitoring system","Monitoring;Internet of Things;Medical services;Computational modeling;Data models;Costs;Computer architecture","","1","","25","IEEE","10 Aug 2022","","","IEEE","IEEE Journals"
"A Sustainable Data Dissemination Approach by Utilizing the Internet of Moving Things","A. Memon; M. N. Ali; B. -S. Kim","Department of Information Technology, Western Institute of Technology at Taranaki, New Plymouth, New Zealand; Department of Software Convergence and Communication Engineering, Sejong Campus, Hongik University, Seoul, South Korea; Department of Software Convergence and Communication Engineering, Sejong Campus, Hongik University, Seoul, South Korea",IEEE Access,"23 Feb 2024","2024","12","","26581","26590","The Internet of Things (IoT) has shown remarkable competence in uniting devices and internet connectivity to make modern life’s applications a reality. These networked devices, empowered with computing and communications, usually exhibit an exponential increment in network traffic to enhance the end-user quality of experience (QoE). The exponential increase in network traffic makes the traditional communication system congested. To reduce the burden of network traffic, the data could be offloaded to device-to-device (D2D)-based infrastructure. This offloading scheme results in an innovative, eco-friendly, and sustainable data dissemination approach known as social networking and is mostly done in opportunistic ways. In this paper, we propose a scheme to explore the performance of the existing routing protocols with the movements and spatial closeness relations among ‘things’, termed as Internet of Moving Things (IoMT). The spatial closeness known as traces will help to make optimal data offloading decisions while considering the mobility traces of humans in the social network. The proposed mechanism is designed to optimally utilize moving physical objects to be involved as a third party in the data communication process between the sources and the destinations rather than using the traditional infrastructure while considering the quality of service (QoS). The simulation results have corroborated the proposed scheme and showed the remarkable performance of routing algorithms while incorporating mobility traces.","2169-3536","","10.1109/ACCESS.2024.3366227","National Research Foundation of Korea (NRF) Grant; Korean Government through MSIT(grant numbers:2022R1A2C1003549); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10436668","IoMT;SIoT;social networking;opportunistic routing;DTN;QoE;QoS;mobility encounter","Routing;Device-to-device communication;Social networking (online);Receivers;Quality of service;Peer-to-peer computing;Internet of Things;Mobile communication;Quality of experience;User experience","","1","","31","CCBYNCND","14 Feb 2024","","","IEEE","IEEE Journals"
"Smart Information Retrieval: Domain Knowledge Centric Optimization Approach","A. Aljamel; T. Osman; G. Acampora; A. Vitiello; Z. Zhang","Department of Computing, Nottingham Trent University, Nottingham, U.K.; Department of Computing, Nottingham Trent University, Nottingham, U.K.; Department of Physics, University of Naples Federico II, Naples, Italy; Department of Computer Science, University of Salerno, Fisciano, Italy; Information School, The University of Sheffield, Sheffield, U.K.",IEEE Access,"10 Jan 2019","2019","7","","4167","4183","In the age of the Internet of Things, online data have witnessed a significant growth in terms of volume and diversity, and research into information retrieval has become one of the important research themes in the Internet-oriented data science research. This paper introduces a novel domain knowledge centric methodology aimed at improving the accuracy of using machine learning methods for relation extraction from text data, which is critical to the accuracy and efficiency of information retrieval-based applications, including recommender systems and sentiment analysis. The proposed methodology makes a significant contribution to the processes of domain knowledge-based relation extraction including interrogating Linked Open Datasets to generate the relation classification training data, addressing the imbalanced classification in the training datasets, determining the probability threshold of the best learning algorithm, and establishing the optimum parameters for genetic algorithms, which were utilized to optimize the feature selection for the learning algorithms. The experimental evaluation of the proposed methodology reveals that the adopted machine-learning algorithms exhibit higher precision and recall in relation extraction in the reduced feature space optimized by our implementation. The considered machine learning includes support vector machine, perceptron algorithm uneven margin, and K-nearest neighbors. The outcome is verified by comparing against the random mutation hill-climbing optimization algorithm using Wilcoxon signed-rank statistical analysis.","2169-3536","","10.1109/ACCESS.2018.2885640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8567894","IoT;information extraction;smart system;machine learning;genetic algorithms;optimization","Feature extraction;Training;Genetic algorithms;Classification algorithms;Machine learning;Task analysis;Optimization","","9","","48","CCBY","7 Dec 2018","","","IEEE","IEEE Journals"
